,precio,origen_ida,destino_ida,min_duracion_ida,escalas_ida,hora_salida_ida,hora_llegada_ida,aerolinea_ida,origen_vuelta,destino_vuelta,min_duracion_vuelta,escalas_vuelta,hora_salida_vuelta,hora_llegada_vuelta,aerolinea_vuelta
31,242.22,Madrid,Rome Fiumicino,145,0,05:50,08:15,ITA Airways,Madrid,Rome Fiumicino,145,0,05:50,08:15,ITA Airways
32,249.0,Madrid,Rome Fiumicino,145,0,15:00,17:25,Air Europa,Madrid,Rome Fiumicino,145,0,15:00,17:25,Air Europa
33,142.69,Madrid,Rome Fiumicino,365,1,18:00,00:05,TAP Air Portugal,Madrid,Rome Fiumicino,365,1,18:00,00:05,TAP Air Portugal
34,255.18,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta
35,261.98,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair
36,267.47,Madrid,Rome Fiumicino,145,0,05:50,08:15,ITA Airways,Madrid,Rome Fiumicino,145,0,05:50,08:15,ITA Airways
37,264.98,Madrid,Rome Fiumicino,150,0,18:00,20:30,ITA Airways,Madrid,Rome Fiumicino,150,0,18:00,20:30,ITA Airways
38,272.18,Madrid,Rome Fiumicino,145,0,12:50,15:15,Ryanair,Madrid,Rome Fiumicino,145,0,12:50,15:15,Ryanair
39,274.25,Madrid,Rome Fiumicino,145,0,05:50,08:15,ITA Airways,Madrid,Rome Fiumicino,145,0,05:50,08:15,ITA Airways
40,267.09,Madrid,Rome Fiumicino,150,0,11:50,14:20,ITA Airways,Madrid,Rome Fiumicino,150,0,11:50,14:20,ITA Airways
41,275.97,Madrid,Rome Fiumicino,145,0,12:50,15:15,Ryanair,Madrid,Rome Fiumicino,145,0,12:50,15:15,Ryanair
42,273.33,Madrid,Rome Fiumicino,145,0,17:05,19:30,Iberia,Madrid,Rome Fiumicino,145,0,17:05,19:30,Iberia
43,181.42,Madrid,Rome Fiumicino,310,1,18:15,23:25,Vueling Airlines,Madrid,Rome Fiumicino,310,1,18:15,23:25,Vueling Airlines
44,278.82,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
45,288.8,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair,Madrid,Rome Fiumicino,145,0,21:45,00:10,Ryanair
46,284.35,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta
47,289.83,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
48,298.12,Madrid,Rome Fiumicino,145,0,15:00,17:25,Air Europa,Madrid,Rome Fiumicino,145,0,15:00,17:25,Air Europa
49,293.8,Madrid,Rome Fiumicino,150,0,11:50,14:20,ITA Airways,Madrid,Rome Fiumicino,150,0,11:50,14:20,ITA Airways
50,298.97,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair
51,307.36,Madrid,Rome Fiumicino,145,0,15:00,17:25,Air Europa,Madrid,Rome Fiumicino,145,0,15:00,17:25,Air Europa
52,305.84,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
53,316.58,Madrid,Rome Fiumicino,145,0,05:50,08:15,ITA Airways,Madrid,Rome Fiumicino,145,0,05:50,08:15,ITA Airways
54,311.47,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,22:25,00:55,Wizz Air Malta
55,312.78,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta
56,313.14,Madrid,Rome Fiumicino,150,0,18:00,20:30,ITA Airways,Madrid,Rome Fiumicino,150,0,18:00,20:30,ITA Airways
57,320.85,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair,Madrid,Rome Fiumicino,145,0,18:55,21:20,Ryanair
58,319.05,Madrid,Rome Fiumicino,145,0,15:00,17:25,ITA Airways,Madrid,Rome Fiumicino,145,0,15:00,17:25,ITA Airways
59,335.74,Madrid,Rome Fiumicino,145,0,17:05,19:30,Vueling Airlines,Madrid,Rome Fiumicino,145,0,17:05,19:30,Vueling Airlines
60,331.92,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta,Madrid,Rome Fiumicino,150,0,09:40,12:10,Wizz Air Malta
